Date,datetime,cash_type,card,Value,coffee_name,Return,SMA_7,SMA_30,Vol_20
04-03-2024,54:51.0,card,ANON-0000-0000-0021,38.7,Latte,0,36.08571429,35.03,0.183788622
04-03-2024,05:16.2,card,ANON-0000-0000-0012,33.8,Americano with Milk,-0.126614987,36.78571429,34.86666667,0.186737595
04-03-2024,04:37.7,card,ANON-0000-0000-0022,24,Espresso,-0.289940828,36.08571429,34.37666667,0.19886581
05-03-2024,38:09.4,card,ANON-0000-0000-0009,38.7,Hot Chocolate,0.6125,36.08571429,34.37666667,0.237898728
05-03-2024,01:31.2,card,ANON-0000-0000-0028,38.7,Hot Chocolate,0,35.9,34.70333333,0.236010974
05-03-2024,56:15.8,card,ANON-0000-0000-0028,28.9,Cortado,-0.253229974,34.5,34.37666667,0.241424473
05-03-2024,37:13.7,card,ANON-0000-0000-0027,38.7,Hot Chocolate,0.339100346,34.5,34.54,0.238089622
05-03-2024,59:52.7,card,ANON-0000-0000-0001,38.7,Latte,0,34.5,34.54,0.22752271
05-03-2024,35:25.0,card,ANON-0000-0000-0025,38.7,Hot Chocolate,0,35.2,34.70333333,0.225458513
05-03-2024,34:06.0,card,ANON-0000-0000-0024,38.7,Latte,0,37.3,34.70333333,0.223829413
05-03-2024,34:56.0,card,ANON-0000-0000-0023,38.7,Latte,0,37.3,34.86666667,0.221212912
05-03-2024,36:28.6,card,ANON-0000-0000-0026,38.7,Cocoa,0,37.3,35.03,0.21761945
06-03-2024,30:27.1,cash,,35,Americano with Milk,-0.095607235,38.17142857,35.07,0.207044804
06-03-2024,24:07.7,card,ANON-0000-0000-0012,28.9,Americano,-0.174285714,36.77142857,35.07,0.208998704
06-03-2024,25:14.4,card,ANON-0000-0000-0012,28.9,Cortado,0,35.37142857,34.90666667,0.205817817
06-03-2024,52:01.8,card,ANON-0000-0000-0029,38.7,Cappuccino,0.339100346,35.37142857,35.23333333,0.217903637
06-03-2024,53:18.3,card,ANON-0000-0000-0029,38.7,Cappuccino,0,35.37142857,35.19,0.205817817
07-03-2024,40:22.6,card,ANON-0000-0000-0032,28.9,Americano,-0.253229974,33.97142857,35.19,0.214456666
07-03-2024,25:44.0,cash,,40,Latte,0.384083045,34.15714286,35.39666667,0.230435295
07-03-2024,41:28.8,card,ANON-0000-0000-0033,33.8,Americano with Milk,-0.155,33.98571429,35.23333333,0.23386916
07-03-2024,18:40.5,card,ANON-0000-0000-0030,38.7,Hot Chocolate,0.144970414,35.38571429,35.39666667,0.235576311
07-03-2024,08:58.9,cash,,40,Latte,0.033591731,36.97142857,35.76666667,0.232908637
07-03-2024,03:59.0,card,ANON-0000-0000-0031,38.7,Latte,-0.0325,36.97142857,35.76666667,0.221012908
08-03-2024,59:24.9,card,ANON-0000-0000-0037,38.7,Latte,0,36.97142857,35.93,0.176016564
08-03-2024,57:51.5,card,ANON-0000-0000-0036,38.7,Latte,0,38.37142857,36.25666667,0.176016564
08-03-2024,45:11.0,card,ANON-0000-0000-0033,28.9,Americano,-0.253229974,36.78571429,36.25666667,0.176016564
08-03-2024,46:11.2,card,ANON-0000-0000-0012,33.8,Americano with Milk,0.169550173,36.78571429,36.09333333,0.163138956
08-03-2024,53:02.0,card,ANON-0000-0000-0035,28.9,Americano,-0.144970414,35.38571429,35.72333333,0.166574666
08-03-2024,22:28.7,card,ANON-0000-0000-0034,38.7,Cappuccino,0.339100346,35.2,35.72333333,0.183203571
08-03-2024,34:41.3,card,ANON-0000-0000-0012,28.9,Cortado,-0.253229974,33.8,35.39666667,0.192799773
08-03-2024,44:12.7,card,ANON-0000-0000-0012,28.9,Americano,0,32.4,35.07,0.192799773
09-03-2024,53:10.4,card,ANON-0000-0000-0043,28.9,Cortado,0,31,34.90666667,0.192799773
09-03-2024,17:57.6,card,ANON-0000-0000-0009,38.7,Cappuccino,0.339100346,32.4,35.39666667,0.205267677
09-03-2024,26:52.9,card,ANON-0000-0000-0044,38.7,Hot Chocolate,0,33.1,35.39666667,0.200032682
09-03-2024,08:01.8,card,ANON-0000-0000-0009,33.8,Americano with Milk,-0.126614987,33.8,35.23333333,0.203107574
09-03-2024,54:36.8,card,ANON-0000-0000-0043,38.7,Cappuccino,0.144970414,33.8,35.56,0.191702482
09-03-2024,41:06.2,card,ANON-0000-0000-0042,33.8,Americano with Milk,-0.126614987,34.5,35.39666667,0.194359748
09-03-2024,19:10.1,card,ANON-0000-0000-0009,38.7,Hot Chocolate,0.144970414,35.9,35.39666667,0.186143703
09-03-2024,14:26.5,card,ANON-0000-0000-0040,28.9,Americano,-0.253229974,35.9,35.07,0.17672417
09-03-2024,13:03.5,card,ANON-0000-0000-0040,28.9,Americano,0,34.5,34.74333333,0.172995676
09-03-2024,09:47.7,card,ANON-0000-0000-0012,38.7,Cappuccino,0.339100346,34.5,34.74333333,0.18613344
09-03-2024,07:38.3,card,ANON-0000-0000-0039,28.9,Americano,-0.253229974,33.8,34.41666667,0.195519454
09-03-2024,05:15.6,card,ANON-0000-0000-0038,24,Espresso,-0.169550173,31.7,34.05,0.199147627
09-03-2024,49:37.3,cash,,40,Hot Chocolate,0.666666667,32.58571429,34.42,0.249492456
09-03-2024,09:22.2,card,ANON-0000-0000-0041,38.7,Latte,-0.0325,32.58571429,34.74666667,0.249791041
10-03-2024,35:54.7,card,ANON-0000-0000-0046,28.9,Cortado,-0.253229974,32.58571429,34.42,0.249791041
10-03-2024,34:00.5,card,ANON-0000-0000-0046,38.7,Latte,0.339100346,33.98571429,34.42,0.257654307
10-03-2024,51:03.0,cash,,35,Americano with Milk,-0.095607235,33.45714286,34.62333333,0.256071223
10-03-2024,45:29.4,cash,,35,Americano with Milk,0,34.32857143,34.45666667,0.246079139
10-03-2024,06:03.0,cash,,40,Latte,0.142857143,36.61428571,34.66333333,0.238717938
10-03-2024,44:18.5,cash,,30,Americano,-0.25,35.18571429,34.37333333,0.247329796
10-03-2024,19:20.8,card,ANON-0000-0000-0045,24,Espresso,-0.2,33.08571429,33.84,0.252502454
11-03-2024,24:26.4,card,ANON-0000-0000-0047,28.9,Americano,0.204166667,33.08571429,33.51333333,0.245161935
11-03-2024,25:45.7,card,ANON-0000-0000-0047,38.7,Latte,0.339100346,33.08571429,33.51333333,0.255849457
11-03-2024,32:58.8,card,ANON-0000-0000-0035,38.7,Cappuccino,0,33.61428571,33.51333333,0.253376368
11-03-2024,50:49.6,card,ANON-0000-0000-0048,28.9,Cortado,-0.253229974,32.74285714,33.51333333,0.259790207
11-03-2024,24:51.6,cash,,30,Cortado,0.038062284,31.31428571,33.38666667,0.257685463
11-03-2024,24:15.0,cash,,40,Cappuccino,0.333333333,32.74285714,33.75666667,0.265707948
11-03-2024,18:46.7,cash,,40,Latte,0,35.02857143,33.8,0.257296605
11-03-2024,26:44.2,cash,,30,Americano,-0.25,35.18571429,33.83666667,0.265526321
12-03-2024,15:00.3,cash,,40,Latte,0.333333333,35.37142857,34.20666667,0.265178462
12-03-2024,15:34.5,card,ANON-0000-0000-0033,28.9,Americano,-0.2775,33.97142857,34.20666667,0.266603945
12-03-2024,16:24.9,card,ANON-0000-0000-0033,28.9,Cortado,0,33.97142857,33.88,0.262564639
12-03-2024,20:45.6,card,ANON-0000-0000-0049,38.7,Hot Chocolate,0.339100346,35.21428571,33.88,0.229500892
12-03-2024,46:23.3,card,ANON-0000-0000-0004,33.8,Americano with Milk,-0.126614987,34.32857143,33.88,0.231650336
12-03-2024,47:26.0,card,ANON-0000-0000-0004,28.9,Americano,-0.144970414,32.74285714,33.55333333,0.226175554
12-03-2024,15:43.3,card,ANON-0000-0000-0050,28.9,Americano,0,32.58571429,33.39,0.213638877
13-03-2024,47:09.4,card,ANON-0000-0000-0054,24,Espresso,-0.169550173,30.3,32.9,0.216126089
13-03-2024,41:20.4,card,ANON-0000-0000-0053,24,Espresso,0,29.6,32.73666667,0.216126089
13-03-2024,40:22.3,card,ANON-0000-0000-0053,24,Espresso,0,28.9,32.57333333,0.213603234
13-03-2024,26:40.9,card,ANON-0000-0000-0052,33.8,Americano with Milk,0.408333333,28.2,32.41,0.224199994
13-03-2024,48:16.8,card,ANON-0000-0000-0004,28.9,Americano,-0.144970414,27.5,32.41,0.221568074
13-03-2024,19:05.1,card,ANON-0000-0000-0051,28.9,Americano,0,27.5,32.57333333,0.217862991
13-03-2024,18:06.3,card,ANON-0000-0000-0051,28.9,Americano,0,27.5,32.20333333,0.204614556
13-03-2024,06:43.0,card,ANON-0000-0000-0048,38.7,Hot Chocolate,0.339100346,29.6,32.20333333,0.217862991
13-03-2024,34:30.3,cash,,25,Espresso,-0.354005168,29.74285714,32.07333333,0.225573538
14-03-2024,20:38.4,card,ANON-0000-0000-0058,38.7,Latte,0.548,31.84285714,32.07333333,0.255068021
14-03-2024,58:55.9,card,ANON-0000-0000-0019,38.7,Hot Chocolate,0,32.54285714,32.19666667,0.245727049
14-03-2024,00:08.7,card,ANON-0000-0000-0012,28.9,Cortado,-0.253229974,32.54285714,31.99333333,0.253485285
14-03-2024,54:38.2,card,ANON-0000-0000-0050,24,Espresso,-0.169550173,31.84285714,31.46,0.249713239
14-03-2024,04:09.5,card,ANON-0000-0000-0059,33.8,Americano with Milk,0.408333333,32.54285714,31.58666667,0.255225907
14-03-2024,52:56.2,card,ANON-0000-0000-0057,24,Espresso,-0.289940828,30.44285714,31.58666667,0.256003435
14-03-2024,28:33.0,card,ANON-0000-0000-0055,38.7,Latte,0.6125,32.4,31.91333333,0.288163532
14-03-2024,28:24.5,card,ANON-0000-0000-0012,28.9,Americano,-0.253229974,31,31.58666667,0.287338331
14-03-2024,02:12.2,cash,,40,Latte,0.384083045,31.18571429,31.63,0.296133126
14-03-2024,51:59.9,card,ANON-0000-0000-0056,33.8,Americano with Milk,-0.155,31.88571429,31.79333333,0.296481908
14-03-2024,27:29.5,card,ANON-0000-0000-0012,28.9,Cortado,-0.144970414,32.58571429,31.75666667,0.299411658
14-03-2024,29:34.3,card,ANON-0000-0000-0055,38.7,Hot Chocolate,0.339100346,33.28571429,31.71333333,0.302415478
15-03-2024,02:16.5,cash,,40,Latte,0.033591731,35.57142857,31.71333333,0.302136066
15-03-2024,53:02.2,card,ANON-0000-0000-0060,38.7,Hot Chocolate,-0.0325,35.57142857,32.00333333,0.302593418
15-03-2024,19:27.9,card,ANON-0000-0000-0012,28.9,Americano,-0.253229974,35.57142857,31.63333333,0.299085516
16-03-2024,07:53.9,card,ANON-0000-0000-0061,28.9,Americano,0,33.98571429,31.63333333,0.296348049
16-03-2024,58:18.5,card,ANON-0000-0000-0009,28.9,Cortado,0,33.28571429,31.63333333,0.296348049
16-03-2024,03:21.7,card,ANON-0000-0000-0009,28.9,Cortado,0,33.28571429,31.30666667,0.296348049
16-03-2024,04:11.4,card,ANON-0000-0000-0012,28.9,Cortado,0,31.88571429,31.14333333,0.287788496
16-03-2024,58:07.2,card,ANON-0000-0000-0062,33.8,Americano with Milk,0.169550173,31,31.30666667,0.275428607
16-03-2024,06:55.2,card,ANON-0000-0000-0061,33.8,Americano with Milk,0,30.3,31.47,0.248970769
17-03-2024,10:21.4,cash,,40,Latte,0.183431953,31.88571429,32.00333333,0.251569022
17-03-2024,55:26.1,card,ANON-0000-0000-0063,28.9,Cortado,-0.2775,31.88571429,32.16666667,0.253055948
18-03-2024,33:36.7,card,ANON-0000-0000-0003,28.9,Americano,0,31.88571429,32.33,0.248904959
18-03-2024,32:38.2,card,ANON-0000-0000-0003,28.9,Americano,0,31.88571429,32.16666667,0.233014487
18-03-2024,31:39.7,card,ANON-0000-0000-0003,28.9,Americano,0,31.88571429,32.16666667,0.221738523
18-03-2024,17:59.7,card,ANON-0000-0000-0064,28.9,Cortado,0,31.18571429,32.16666667,0.1743234
19-03-2024,20:26.0,cash,,30,Cortado,0.038062284,30.64285714,32.20333333,0.163941493
19-03-2024,02:21.5,card,ANON-0000-0000-0065,38.7,Latte,0.29,30.45714286,32.20333333,0.153806931
19-03-2024,03:19.8,card,ANON-0000-0000-0065,38.7,Latte,0,31.85714286,32.66,0.148907479
19-03-2024,04:36.3,card,ANON-0000-0000-0049,38.7,Hot Chocolate,0,33.25714286,32.66,0.144042906
19-03-2024,53:48.7,card,ANON-0000-0000-0066,33.8,Americano with Milk,-0.126614987,33.95714286,32.49666667,0.127167571
19-03-2024,26:32.7,cash,,40,Hot Chocolate,0.183431953,35.54285714,32.86666667,0.133433411
20-03-2024,41:16.4,card,ANON-0000-0000-0012,28.9,Cortado,-0.2775,35.54285714,33.03,0.147881932
20-03-2024,21:07.7,cash,,40,Latte,0.384083045,36.97142857,33.23666667,0.159453491
20-03-2024,30:49.0,card,ANON-0000-0000-0049,28.9,Cortado,-0.2775,35.57142857,33.4,0.173504368
20-03-2024,16:47.4,card,ANON-0000-0000-0067,38.7,Cappuccino,0.339100346,35.57142857,33.4,0.187980412
20-03-2024,42:38.1,card,ANON-0000-0000-0050,38.7,Cocoa,0,35.57142857,33.72666667,0.187980412
20-03-2024,50:28.8,card,ANON-0000-0000-0068,38.7,Latte,0,36.27142857,33.68333333,0.187980412
21-03-2024,22:01.4,card,ANON-0000-0000-0012,28.9,Cortado,-0.253229974,34.68571429,33.52,0.195261053
21-03-2024,20:36.5,card,ANON-0000-0000-0069,38.7,Latte,0.339100346,36.08571429,33.84666667,0.208588339
21-03-2024,21:01.5,cash,,30,Americano,-0.224806202,34.65714286,33.55666667,0.21243871
21-03-2024,18:57.0,cash,,40,Cappuccino,0.333333333,36.24285714,33.55666667,0.213316823
21-03-2024,25:09.2,card,ANON-0000-0000-0012,28.9,Cortado,-0.2775,34.84285714,33.23,0.224602014
21-03-2024,26:17.4,card,ANON-0000-0000-0012,38.7,Cappuccino,0.339100346,34.84285714,33.55666667,0.235280175
22-03-2024,35:53.6,card,ANON-0000-0000-0070,33.8,Americano with Milk,-0.126614987,34.14285714,33.72,0.238112331
22-03-2024,29:20.3,card,ANON-0000-0000-0071,33.8,Americano with Milk,0,34.84285714,33.88333333,0.238112331
22-03-2024,15:14.4,cash,,40,Cappuccino,0.183431953,35.02857143,34.25333333,0.24044623
22-03-2024,17:03.7,card,ANON-0000-0000-0012,28.9,Americano,-0.2775,34.87142857,34.25333333,0.243035123
22-03-2024,17:59.0,card,ANON-0000-0000-0012,24,Espresso,-0.169550173,32.58571429,33.92666667,0.246446204
22-03-2024,20:49.5,card,ANON-0000-0000-0050,28.9,Americano,0.204166667,32.58571429,33.76333333,0.250444406
23-03-2024,00:58.4,card,ANON-0000-0000-0009,28.9,Cortado,0,31.18571429,33.39333333,0.248273873
23-03-2024,49:33.8,card,ANON-0000-0000-0076,33.8,Americano with Milk,0.169550173,31.18571429,33.55666667,0.247815077
23-03-2024,47:19.1,card,ANON-0000-0000-0076,38.7,Latte,0.144970414,31.88571429,33.88333333,0.238933751
23-03-2024,44:41.3,card,ANON-0000-0000-0075,33.8,Americano with Milk,-0.126614987,31,34.04666667,0.2274068
23-03-2024,11:12.2,card,ANON-0000-0000-0074,38.7,Cocoa,0.144970414,32.4,34.37333333,0.218144571
23-03-2024,10:07.7,card,ANON-0000-0000-0074,38.7,Cappuccino,0,34.5,34.7,0.206292287
23-03-2024,45:07.2,card,ANON-0000-0000-0073,33.8,Americano with Milk,-0.126614987,35.2,34.82666667,0.208869586
23-03-2024,43:59.6,card,ANON-0000-0000-0072,38.7,Latte,0.144970414,36.6,34.82666667,0.210871026
24-03-2024,03:56.0,cash,,40,Latte,0.033591731,37.48571429,34.87,0.200745321
24-03-2024,45:08.4,card,ANON-0000-0000-0077,38.7,Latte,-0.0325,37.48571429,34.87,0.187945483
25-03-2024,34:24.5,card,ANON-0000-0000-0079,38.7,Cappuccino,0,38.18571429,35.03333333,0.179255733
25-03-2024,37:30.6,card,ANON-0000-0000-0024,33.8,Americano with Milk,-0.126614987,37.48571429,34.82666667,0.167123373
25-03-2024,29:25.3,card,ANON-0000-0000-0017,38.7,Latte,0.144970414,37.48571429,35.15333333,0.155847961
25-03-2024,27:09.2,card,ANON-0000-0000-0078,38.7,Latte,0,38.18571429,35.11,0.137363091
25-03-2024,16:25.7,cash,,35,Americano with Milk,-0.095607235,37.65714286,35.31333333,0.135916506
25-03-2024,31:47.2,card,ANON-0000-0000-0009,38.7,Latte,0.105714286,37.47142857,35.31333333,0.137521282
26-03-2024,34:54.6,card,ANON-0000-0000-0009,38.7,Hot Chocolate,0,37.47142857,35.31333333,0.131768259
26-03-2024,33:38.6,card,ANON-0000-0000-0024,38.7,Latte,0,37.47142857,35.31333333,0.113603943
26-03-2024,48:02.3,card,ANON-0000-0000-0081,38.7,Latte,0,38.17142857,35.64,0.104625519
26-03-2024,57:53.7,card,ANON-0000-0000-0050,28.9,Americano,-0.253229974,36.77142857,35.31333333,0.113952856
26-03-2024,36:49.6,card,ANON-0000-0000-0032,28.9,Cortado,0,35.37142857,35.27666667,0.113952856
26-03-2024,37:59.7,card,ANON-0000-0000-0059,28.9,Cortado,0,34.5,34.90666667,0.107286606
26-03-2024,11:47.3,card,ANON-0000-0000-0009,28.9,Cortado,0,33.1,34.90666667,0.101572339
26-03-2024,42:30.2,card,ANON-0000-0000-0080,38.7,Latte,0.339100346,33.1,34.90666667,0.124148098
26-03-2024,36:36.2,card,ANON-0000-0000-0055,38.7,Latte,0,33.1,35.07,0.120266386
26-03-2024,35:49.7,card,ANON-0000-0000-0055,38.7,Cocoa,0,33.1,35.23333333,0.120266386
26-03-2024,35:52.8,card,ANON-0000-0000-0003,28.9,Americano,-0.253229974,33.1,34.86333333,0.130545903
27-03-2024,23:35.4,card,ANON-0000-0000-0012,28.9,Americano,0,33.1,34.86333333,0.126040731
27-03-2024,31:12.4,cash,,40,Latte,0.384083045,34.68571429,35.39666667,0.153368868
27-03-2024,30:11.8,card,ANON-0000-0000-0084,28.9,Cortado,-0.2775,34.68571429,35.39666667,0.166239798
27-03-2024,22:31.7,card,ANON-0000-0000-0012,38.7,Cappuccino,0.339100346,34.68571429,35.72333333,0.182873713
27-03-2024,05:58.2,card,ANON-0000-0000-0003,33.8,Americano with Milk,-0.126614987,33.98571429,35.72333333,0.182873713
27-03-2024,57:00.5,card,ANON-0000-0000-0082,33.8,Americano with Milk,0,33.28571429,35.56,0.180320381
27-03-2024,35:20.0,card,ANON-0000-0000-0083,38.7,Hot Chocolate,0.144970414,34.68571429,35.72333333,0.182873713
27-03-2024,04:51.2,card,ANON-0000-0000-0003,28.9,Cortado,-0.253229974,34.68571429,35.39666667,0.191117377
28-03-2024,24:47.1,card,ANON-0000-0000-0085,28.9,Cortado,0,33.1,35.07,0.189713602
28-03-2024,24:46.2,card,ANON-0000-0000-0012,28.9,Cortado,0,33.1,34.90666667,0.189713602
28-03-2024,27:05.3,card,ANON-0000-0000-0012,28.9,Americano,0,31.7,34.58,0.189713602
28-03-2024,32:44.7,card,ANON-0000-0000-0086,38.7,Latte,0.339100346,32.4,34.53666667,0.20411555
29-03-2024,56:19.5,card,ANON-0000-0000-0087,38.7,Latte,0,33.1,34.53666667,0.193931757
29-03-2024,34:17.4,card,ANON-0000-0000-0088,38.7,Cappuccino,0,33.1,34.53666667,0.193931757
29-03-2024,41:32.1,card,ANON-0000-0000-0088,38.7,Cappuccino,0,34.5,34.7,0.193931757
29-03-2024,22:44.6,cash,,40,Cappuccino,0.033591731,36.08571429,34.74333333,0.193787362
30-03-2024,36:40.5,card,ANON-0000-0000-0009,38.7,Latte,-0.0325,37.48571429,34.74333333,0.180285449
30-03-2024,12:31.8,card,ANON-0000-0000-0017,38.7,Latte,0,38.88571429,34.86666667,0.180285449
30-03-2024,37:57.6,card,ANON-0000-0000-0009,33.8,Americano with Milk,-0.126614987,38.18571429,34.70333333,0.183037821
30-03-2024,59:19.9,card,ANON-0000-0000-0069,38.7,Latte,0.144970414,38.18571429,34.70333333,0.174522117
30-03-2024,49:25.8,cash,,40,Cappuccino,0.033591731,38.37142857,34.74666667,0.174395322
31-03-2024,36:45.0,cash,,30,Americano,-0.25,37.12857143,34.45666667,0.163991319
31-03-2024,40:04.5,card,ANON-0000-0000-0089,38.7,Cappuccino,0.29,36.94285714,34.78333333,0.162825019
01-04-2024,28:47.6,card,ANON-0000-0000-0004,28.9,Americano,-0.253229974,35.54285714,34.78333333,0.156792167
01-04-2024,29:42.3,card,ANON-0000-0000-0004,33.8,Americano with Milk,0.169550173,34.84285714,34.94666667,0.158459625
01-04-2024,30:43.7,card,ANON-0000-0000-0004,33.8,Americano with Milk,0,34.84285714,35.11,0.158459625
01-04-2024,15:43.8,card,ANON-0000-0000-0009,33.8,Americano with Milk,0,34.14285714,34.94666667,0.155342499
01-04-2024,18:42.4,card,ANON-0000-0000-0024,33.8,Americano with Milk,0,33.25714286,34.78333333,0.143040547
01-04-2024,45:27.4,card,ANON-0000-0000-0090,38.7,Hot Chocolate,0.144970414,34.5,34.78333333,0.145758512
01-04-2024,01:42.9,cash,,40,Cappuccino,0.033591731,34.68571429,35.15333333,0.145652759
02-04-2024,01:14.0,card,ANON-0000-0000-0001,38.7,Latte,-0.0325,36.08571429,35.48,0.146142695
02-04-2024,18:34.2,card,ANON-0000-0000-0003,28.9,Americano,-0.253229974,35.38571429,35.11,0.13892097
02-04-2024,19:28.5,card,ANON-0000-0000-0003,28.9,Cortado,0,34.68571429,35.11,0.13892097
02-04-2024,59:31.9,cash,,40,Cappuccino,0.384083045,35.57142857,35.15333333,0.163929084
03-04-2024,36:11.7,cash,,30,Cortado,-0.25,35.02857143,35.02666667,0.17428259
03-04-2024,12:05.4,card,ANON-0000-0000-0012,38.7,Cappuccino,0.29,35.02857143,35.19,0.185793921
03-04-2024,20:07.7,card,ANON-0000-0000-0003,28.9,Americano,-0.253229974,33.44285714,34.86333333,0.195065671
03-04-2024,19:13.6,card,ANON-0000-0000-0003,28.9,Cortado,0,32.04285714,34.86333333,0.195065671
04-04-2024,44:56.0,card,ANON-0000-0000-0091,38.7,Latte,0.339100346,33.44285714,35.19,0.206183862
04-04-2024,26:38.1,card,ANON-0000-0000-0092,38.7,Latte,0,34.84285714,35.51666667,0.204354087
04-04-2024,27:48.4,card,ANON-0000-0000-0093,38.7,Cappuccino,0,34.65714286,35.84333333,0.204371383
04-04-2024,23:02.2,card,ANON-0000-0000-0094,28.9,Cortado,-0.253229974,34.5,35.51666667,0.204595424
04-04-2024,42:07.7,cash,,40,Latte,0.384083045,34.68571429,35.56,0.212126512
05-04-2024,18:23.6,card,ANON-0000-0000-0003,24,Espresso,-0.4,33.98571429,35.07,0.224353696
05-04-2024,17:44.0,cash,,40,Cocoa,0.666666667,35.57142857,35.11333333,0.266025915
05-04-2024,54:15.8,cash,,40,Cappuccino,0,35.75714286,35.11333333,0.266025915
05-04-2024,30:50.4,cash,,40,Latte,0,35.94285714,35.15666667,0.266025915
05-04-2024,24:50.4,card,ANON-0000-0000-0098,28.9,Cortado,-0.2775,34.54285714,34.83,0.275297961
05-04-2024,55:30.9,cash,,30,Americano,0.038062284,34.7,34.70333333,0.273903598
05-04-2024,14:28.0,card,ANON-0000-0000-0097,33.8,Americano with Milk,0.126666667,33.81428571,34.54,0.274921268
05-04-2024,06:14.6,card,ANON-0000-0000-0096,28.9,Cortado,-0.144970414,34.51428571,34.17,0.277308919
05-04-2024,23:40.4,card,ANON-0000-0000-0098,38.7,Latte,0.339100346,34.32857143,34.46,0.278240653
05-04-2024,42:06.2,card,ANON-0000-0000-0012,28.9,Americano,-0.253229974,32.74285714,34.13333333,0.286255195
05-04-2024,40:42.7,card,ANON-0000-0000-0095,28.9,Americano,0,31.15714286,34.13333333,0.274365886
06-04-2024,14:27.0,card,ANON-0000-0000-0040,28.9,Americano,0,31.15714286,33.97,0.267133239
06-04-2024,49:50.2,card,ANON-0000-0000-0009,38.7,Latte,0.339100346,32.4,34.13333333,0.269859437
06-04-2024,32:31.4,card,ANON-0000-0000-0099,33.8,Americano with Milk,-0.126614987,32.4,34.13333333,0.264229242
06-04-2024,13:18.7,card,ANON-0000-0000-0040,38.7,Cappuccino,0.144970414,33.8,34.29666667,0.2650941
07-04-2024,02:03.9,card,ANON-0000-0000-0101,33.8,Americano with Milk,-0.126614987,33.1,34.13333333,0.258372336
07-04-2024,12:53.2,card,ANON-0000-0000-0091,38.7,Latte,0.144970414,34.5,34.09,0.259728286
07-04-2024,44:31.9,card,ANON-0000-0000-0040,38.7,Cappuccino,0,35.9,34.09,0.259728286
07-04-2024,46:05.1,card,ANON-0000-0000-0040,38.7,Cappuccino,0,37.3,34.41666667,0.251223785
